tool_name,category,difficulty,quality,customization,target_user
ChatGPT 3.5,텍스트,0,1,0,초보자
ChatGPT 3.5,텍스트,0,1,1,학생
ChatGPT 3.5,텍스트,1,2,0,연구자
ChatGPT 3.5,텍스트,1,2,1,콘텐츠 전문가
ChatGPT 3.5,텍스트,0,1,0,업무 사용자
ChatGPT 3.5,텍스트,1,2,0,디자이너
ChatGPT 3.5,텍스트,0,1,1,일상 사용자
ChatGPT 3.5,텍스트,1,2,1,마케터
ChatGPT 3.5,텍스트,0,1,0,초심자
ChatGPT 3.5,텍스트,1,2,1,학생
Notion AI,텍스트,0,1,0,초보자
Notion AI,텍스트,0,1,1,학생
Notion AI,텍스트,1,2,0,연구자
Notion AI,텍스트,2,3,1,콘텐츠 전문가
Notion AI,텍스트,0,1,0,업무 사용자
Notion AI,텍스트,1,2,0,디자이너
Notion AI,텍스트,0,1,1,일상 사용자
Notion AI,텍스트,2,3,2,마케터
Notion AI,텍스트,0,1,0,초심자
Notion AI,텍스트,3,3,2,연구자
Gemini 1.5,텍스트,2,3,2,콘텐츠 크리에이터
Gemini 1.5,텍스트,1,2,0,학생
Gemini 1.5,텍스트,3,3,3,일상 사용자
Gemini 1.5,텍스트,3,3,2,연구자
Gemini 1.5,텍스트,2,2,2,마케터
Gemini 1.5,텍스트,0,1,0,초보자
Gemini 1.5,텍스트,1,2,0,업무 사용자
Gemini 1.5,텍스트,3,3,2,디자이너
Gemini 1.5,텍스트,2,3,2,콘텐츠 전문가
Gemini 1.5,텍스트,3,3,3,연구자
Midjourney v5,이미지,2,3,2,디자이너
Midjourney v5,이미지,1,2,0,학생
Midjourney v5,이미지,3,3,2,연구자
Midjourney v5,이미지,2,2,2,마케터
Midjourney v5,이미지,0,1,0,초보자
Midjourney v5,이미지,2,3,2,콘텐츠 전문가
Midjourney v5,이미지,3,3,3,일상 사용자
Midjourney v5,이미지,2,3,0,업무 사용자
Midjourney v5,이미지,2,3,2,연구자
Midjourney v5,이미지,3,3,3,디자이너
DALL·E 3,이미지,2,3,2,디자이너
DALL·E 3,이미지,1,2,0,학생
DALL·E 3,이미지,3,3,2,연구자
DALL·E 3,이미지,2,2,2,마케터
DALL·E 3,이미지,0,1,0,초보자
DALL·E 3,이미지,2,3,2,콘텐츠 전문가
DALL·E 3,이미지,3,3,3,일상 사용자
DALL·E 3,이미지,2,3,0,업무 사용자
DALL·E 3,이미지,2,3,2,연구자
DALL·E 3,이미지,3,3,3,디자이너
Claude Opus,텍스트,3,3,3,콘텐츠 전문가
Claude Opus,텍스트,3,3,2,연구자
Claude Opus,텍스트,2,3,3,학생
Claude Opus,텍스트,2,2,2,마케터
Claude Opus,텍스트,0,1,0,초보자
Claude Opus,텍스트,3,3,3,업무 사용자
Claude Opus,텍스트,3,3,2,디자이너
Claude Opus,텍스트,2,3,3,콘텐츠 크리에이터
Claude Opus,텍스트,3,3,3,일상 사용자
Claude Opus,텍스트,3,3,3,연구자
Playground v2,이미지,3,3,3,학생
Playground v2,이미지,2,3,2,일상 사용자
Playground v2,이미지,2,2,2,마케터
Playground v2,이미지,0,1,0,초보자
Playground v2,이미지,3,3,3,연구자
Playground v2,이미지,2,3,2,업무 사용자
Playground v2,이미지,2,3,0,디자이너
Playground v2,이미지,3,3,2,콘텐츠 전문가
Playground v2,이미지,3,3,3,일상 사용자
Playground v2,이미지,2,3,2,연구자
Soundraw,음악,0,1,0,일상 사용자
Soundraw,음악,1,2,1,연구자
Soundraw,음악,0,1,1,학생
Soundraw,음악,1,2,0,업무 사용자
Soundraw,음악,0,1,0,초보자
Soundraw,음악,1,2,1,마케터
Soundraw,음악,0,1,0,콘텐츠 전문가
Soundraw,음악,1,2,1,디자이너
Soundraw,음악,0,1,0,연구자
Soundraw,음악,1,2,1,일상 사용자
Beatoven,음악,0,1,0,일상 사용자
Beatoven,음악,0,1,1,학생
Beatoven,음악,1,2,0,업무 사용자
Beatoven,음악,1,2,1,연구자
Beatoven,음악,0,1,0,초보자
Beatoven,음악,0,1,1,마케터
Beatoven,음악,1,2,0,콘텐츠 전문가
Beatoven,음악,1,2,1,디자이너
Beatoven,음악,0,1,0,연구자
Beatoven,음악,0,1,1,일상 사용자
Suno.ai,음악,1,2,1,업무 사용자
Suno.ai,음악,3,3,3,연구자
Suno.ai,음악,1,1,1,학생
Suno.ai,음악,3,3,2,마케터
Suno.ai,음악,0,1,0,초보자
Suno.ai,음악,1,2,0,콘텐츠 전문가
Suno.ai,음악,2,3,1,디자이너
Suno.ai,음악,1,2,1,일상 사용자
Suno.ai,음악,3,3,3,업무 사용자
Suno.ai,음악,1,2,1,연구자
Aiva,음악,1,2,1,학생
Aiva,음악,1,2,0,업무 사용자
Aiva,음악,3,3,3,연구자
Aiva,음악,3,3,2,마케터
Aiva,음악,0,1,0,초보자
Aiva,음악,1,2,1,콘텐츠 전문가
Aiva,음악,3,3,3,디자이너
Aiva,음악,1,2,0,일상 사용자
Google MusicLM,음악,3,3,3,일상 사용자
Google MusicLM,음악,2,3,2,연구자
Google MusicLM,음악,3,3,2,마케터
Google MusicLM,음악,1,1,0,초보자
Google MusicLM,음악,3,3,3,업무 사용자
Google MusicLM,음악,2,3,2,콘텐츠 전문가
Google MusicLM,음악,3,3,3,디자이너
Google MusicLM,음악,2,3,2,학생
Google MusicLM,음악,3,3,3,연구자
Google MusicLM,음악,2,3,2,일상 사용자
Udio,음악,3,3,3,업무 사용자
Udio,음악,3,3,2,연구자
Udio,음악,2,3,2,학생
Udio,음악,1,1,0,마케터
Udio,음악,0,1,0,초보자
Udio,음악,3,3,3,콘텐츠 전문가
Udio,음악,3,3,2,디자이너
Udio,음악,2,3,2,일상 사용자
Udio,음악,2,3,2,연구자
Riffusion,음악,3,3,3,일상 사용자
Riffusion,음악,2,3,2,연구자
Riffusion,음악,3,3,3,학생
Riffusion,음악,1,1,0,마케터
Riffusion,음악,0,1,0,초보자
Riffusion,음악,3,3,3,콘텐츠 전문가
Riffusion,음악,3,3,2,디자이너
Riffusion,음악,2,3,2,업무 사용자
Riffusion,음악,3,3,3,연구자
Riffusion,음악,2,3,2,일상 사용자
Stable Diffusion,이미지,2,3,2,학생
Stable Diffusion,이미지,2,3,0,연구자
Stable Diffusion,이미지,3,3,2,마케터
Stable Diffusion,이미지,1,1,0,초보자
Stable Diffusion,이미지,2,3,2,콘텐츠 전문가
Stable Diffusion,이미지,3,3,3,디자이너
Stable Diffusion,이미지,2,3,2,일상 사용자
Stable Diffusion,이미지,2,3,0,업무 사용자
Stable Diffusion,이미지,3,3,3,연구자
Eleven Labs,음성,2,3,2,업무 사용자
Eleven Labs,음성,2,3,0,연구자
Eleven Labs,음성,3,3,2,학생
Eleven Labs,음성,1,1,0,마케터
Eleven Labs,음성,0,1,0,초보자
Eleven Labs,음성,2,3,2,콘텐츠 전문가
Eleven Labs,음성,3,3,3,디자이너
Eleven Labs,음성,2,3,2,일상 사용자
Eleven Labs,음성,3,3,3,연구자
DreamBooth,이미지,3,3,3,일상 사용자
